,bsz,lr,model,acc
235,128,0.001,CNN,30.23
236,128,0.001,CNN,47.47
237,128,0.001,CNN,35.37
238,128,0.001,CNN,52.89
239,128,0.001,CNN,55.35
240,128,0.001,MLP,57.13
241,128,0.001,MLP,26.98
242,128,0.001,MLP,37.35
243,128,0.001,MLP,70.62
244,128,0.001,MLP,62.1
245,128,0.001,MLP,51.71
246,128,0.001,MLP,51.07
247,128,0.001,MLP,55.62
248,128,0.001,MLP,40.46
249,128,0.001,MLP,57.63
250,32,0.0001,CNN,38.66
251,32,0.0001,CNN,42.6
252,32,0.0001,CNN,54.87
253,32,0.0001,CNN,80.0
254,32,0.0001,CNN,26.01
255,32,0.0001,CNN,68.54
256,32,0.0001,CNN,49.1
257,32,0.0001,CNN,40.75
258,32,0.0001,CNN,64.47
259,32,0.0001,CNN,56.4
260,64,0.0001,CNN,27.07
261,64,0.0001,CNN,63.56
262,64,0.0001,CNN,13.35
263,64,0.0001,CNN,58.5
264,64,0.0001,CNN,44.99
265,64,0.0001,CNN,51.6
266,64,0.0001,CNN,53.33
267,64,0.0001,CNN,24.26
268,64,0.0001,CNN,44.19
269,64,0.0001,CNN,32.77
270,512,0.01,CNN,26.71
271,512,0.01,CNN,41.07
272,512,0.01,CNN,45.17
273,512,0.01,CNN,49.36
274,512,0.01,CNN,44.92
275,512,0.01,CNN,18.78
276,512,0.01,CNN,13.03
277,512,0.01,CNN,20.54
278,512,0.01,CNN,18.74
279,512,0.01,CNN,26.98
280,16,0.001,MLP,69.52
281,16,0.001,MLP,56.19
282,16,0.001,MLP,59.45
283,16,0.001,MLP,51.68
284,16,0.001,MLP,55.87
285,16,0.001,MLP,53.66
286,16,0.001,MLP,64.47
287,16,0.001,MLP,39.59
288,16,0.001,MLP,58.53
289,16,0.001,MLP,58.56
290,256,0.01,MLP,44.99
291,256,0.01,MLP,53.05
292,256,0.01,MLP,29.7
293,256,0.01,MLP,49.32
294,256,0.01,MLP,36.83
295,256,0.01,MLP,49.87
296,256,0.01,MLP,50.29
